,CALSPEC_id,source_id,magH550,magH750,magH880,magHpan,magS420,magS550,magS750,magS920,magSpan
0,109_VIR,3655377057091634304,3.6980698619065,4.047339573605974,4.161874168185921,3.800923756239836,3.482495290179884,3.698427212750026,4.047470851067022,4.168490471177364,3.9558691825659054
1,10_LAC,1908095850396090880,4.861552384712155,5.374692226873474,5.643099510926568,4.973747534406353,4.471801782555371,4.863319191483978,5.374105688614698,5.717759110258299,5.229505181362164
2,16_CYG_B,2135550755683407232,6.180177159233363,5.928056738350524,5.900212164871206,6.138006435575381,6.863237624891184,6.180564764757289,5.928153363918092,5.8923570833796575,5.968088565763164
3,18_SCO,4345775217221821312,5.443515304874378,5.203816894270798,5.177864183251479,5.405014382896269,6.094486451582036,5.44459865904409,5.204250504087547,5.1674782675722675,5.2429175462829996
4,1732526,1651137131123978112,12.503149662303038,12.760131962545081,12.882169932932413,12.606759544479669,12.440281012551452,12.502342496470376,12.759235255946074,12.889479101681538,12.691209984022723
5,17403462,1633143932573832448,12.461644920636743,12.629915506078774,12.726860162124467,12.54544754063134,12.475892573710517,12.460809992921092,12.630478047896155,12.740437815638678,12.584462047728355
6,1743045,1634280312200704768,13.493359441142573,13.589918423129689,13.662018232145066,13.561871796999977,13.613371458297564,13.49321144118494,13.589012495567502,13.678707232860972,13.559389305450306
7,2MASSJ17571324+6703409,1633585107317144960,11.780830917328771,11.890466481831474,11.97052415654153,11.85151606133439,11.89932184260175,11.781393700436105,11.891404493221884,11.973663437485556,11.853038200300833
8,2MASSJ18022716+6043356,2158745262705810304,11.988066450201373,12.299607602498149,12.426726455313464,12.094604818762999,11.839546476635931,11.98824483667017,12.299822485865043,12.429031808421016,12.217331145072475
9,1805292,2161093682102883712,12.276520225353806,12.531306592397065,12.641357684324547,12.378155841115042,12.208598299414419,12.276291015795621,12.53156414201873,12.65181277015914,12.46499561377082
10,2MASSJ18083474+6927286,2260019315938461952,12.066231156510597,12.224444901928948,12.317577435935945,12.145752016506936,12.080357557271256,12.065187671944472,12.224636852182314,12.325120370594462,12.182325843394512
11,1812095,2160839724980689408,11.712111403091264,11.894630386082802,11.991854666718197,11.802225590127964,11.748215778319064,11.71022700410974,11.894500684461761,11.991257229409165,11.842351352732717
12,AGK+81_266,1144974578159253632,11.929800987755016,12.56616119379354,12.896988141127359,12.036218009742843,11.3982013849384,11.929812237635964,12.565916829374238,12.991582851668,12.386555700673366
13,BD+02_3375,4376174445988280576,9.906483489373148,9.694291478414094,9.66321080231048,9.865611423810307,10.309218274405254,9.906513255800768,9.694586887915733,9.65702057427389,9.737621651807295
14,BD-11_3759,6324325225803432320,11.226825308368333,9.040621663878635,8.43334695596991,9.894468435831278,13.415148318991946,11.250223689333843,8.959164807340812,8.23102623011916,9.74739826721666
15,BD+21_0607,52624073910834176,9.18826999293692,9.024272664190747,9.015110566061868,9.167011085121576,9.547411078200845,9.187628983012903,9.024681740917192,9.014765334499572,9.056132464522353
16,BD+26_2606,1267333012397454592,9.679056488791694,9.509113525426557,9.486823225632964,9.653543355170036,10.03589631852865,9.678721872478839,9.508794022408807,9.486746601309193,9.541064763901815
17,BD+29_2091,731253779217024640,10.2206993055959,9.988431772927697,9.955325973085671,10.174796575958528,10.685147701093815,10.22069579016689,9.988962619362077,9.95070612172566,10.034522639486337
18,BD+54_1216,1032197606073957888,9.669962932760782,9.489168321797557,9.47774638642899,9.643252114661873,10.06285488268701,9.669757226286983,9.48941415887142,9.478637621381782,9.523637641077016
19,BD+60_1753,1435896975388228224,9.670234317421325,10.011152642163655,10.145120623299192,9.778473625898553,9.48260156492346,9.670467963254595,10.011249379019855,10.149071166031533,9.921109991665453
20,BD+17_47083,1776289248313154688,9.434782613849823,9.262586006271448,9.246676271400208,9.409158789600834,9.79792880756855,9.434992421670291,9.262360031363773,9.244310226641169,9.295714615022984
21,BD+75_325,1135587497636732672,9.54703524788259,10.171124835575519,10.491817119011337,9.646997666961049,9.01503658015963,9.551240073119196,10.171595425964075,10.588711408453918,9.991106986891431
22,C26202,5057499161282786432,16.462057404758845,16.262956666381776,16.251852208514066,16.436920945309925,16.96470217763884,16.458074508296384,16.261547975940175,16.227922488939555,16.299899973538334
23,DELTA_UMI,1724851173788449536,4.319672824339769,4.653046893374061,4.775539928477954,4.423792730836407,4.127774392712901,4.319501776416082,4.652968512963888,4.781700685955759,4.566547988337977
24,ETA1_DOR,5284258831636637440,5.672990977904526,6.056525025093098,6.212377725847439,5.7842053090863494,5.43326778183777,5.672789575182819,6.05641082271055,6.222395262709313,5.955591842651604
25,ETA_UMA,1510374147844219904,1.8155133295019539,2.3232424834180208,2.5591996336049547,1.9271731809767552,1.4274019265751363,1.8161210768857785,2.323273099648162,2.609597778388448,2.1844630335155486
26,FEIGE110,2633603478379307904,11.839556751515232,12.44928143044789,12.762031188125107,11.946910747052701,11.335530164657229,11.8416517175461,12.448764156218019,12.846619440270374,12.276883503880317
27,FEIGE34,781164326766404736,11.178739071604568,11.760862062507243,12.04131288217063,11.270739174318226,10.647625724513027,11.18078775043768,11.759462609466532,12.117422853022418,11.606767005637746
28,G191B2B,266077145295627520,11.783926340027044,12.409960717369792,12.739254316255092,11.894830161586366,11.27025906534912,11.784198017216873,12.410169064573545,12.828732182698381,12.23445023353904
29,GD153,3944400490365194368,13.35231972965537,13.966165098402747,14.290137026839076,13.474359537149706,12.884481536420978,13.353605883834554,13.96626152452729,14.376221838387949,13.797944325995278
30,GD71,3348071631670500736,13.031125684692611,13.636692875837248,13.952505702046992,13.160920191264143,12.591389628514847,13.032004080557975,13.63646410257983,14.04602631693394,13.472616573755946
31,GJ754.1A,4201781696994073472,12.281703922271461,12.55735582807204,12.754391790929951,12.383077832649999,12.194241682496404,12.28063113834201,12.55713064944701,12.814586430162805,12.474104328988144
32,GRW+70_5824,1686708050268594944,12.75187827527234,13.2918745062468,13.576445703184675,12.9105050394251,12.468545698353886,12.752615805706263,13.29142642025213,13.66169654261006,13.157295225103706
33,HD009051,5040300909638155520,8.893440765206421,8.430410202614603,8.30300586657535,8.748651753782656,9.767406504643745,8.893459270127138,8.430814034440282,8.273616600653767,8.52729505743753
34,HD031128,4881345510044485120,9.096095893613278,8.900058584616222,8.881060940412919,9.06450021793231,9.517816105988949,9.09647263411232,8.900893066328926,8.875198612901709,8.938245393182221
35,HD074000,5709390701922940416,9.628084127531487,9.478374714113599,9.472810576445582,9.610854207256953,9.960458047433537,9.627597048224871,9.478684550019914,9.473476182751167,9.507073872562472
36,HD101452,5384905720847544192,7.4994773974598985,7.578527286562959,7.648537097960261,7.564650182030174,7.675255404033063,7.499410622902349,7.579396347851379,7.6539169967549086,7.548361694019135
37,HD106252,3905603054348141440,7.37698386374262,7.157054558679562,7.142031660647866,7.346527342142224,7.980171965769845,7.376530599601068,7.157028470412634,7.136705958052474,7.191834974864005
38,HD111980,3510294882898890880,8.335567314859837,8.112858331955533,8.08174343760588,8.295325509233944,8.81542608863807,8.33495357619006,8.112671214434513,8.07108942764378,8.155978810803173
39,HD115169,6182594053814895872,9.201352013185698,8.953412255948166,8.92042811630455,9.158956549633775,9.854426483169007,9.201443259252464,8.953334484517288,8.909892304104694,8.994237749229903
40,HD116405,1550544530286455680,8.306053570181504,8.7115791507129,8.868335369105125,8.41595170163064,8.035226444463856,8.305563255617358,8.712149777862084,8.889344603870374,8.602192557742168
41,HD128998,1606779808402312320,5.797713666936485,6.158016704312189,6.290574187494077,5.905542473227218,5.578424819912897,5.7976043663485655,6.1580724504116375,6.296367053315379,6.064050246038342
42,HD142331,4347960427864280576,8.675092756978845,8.40651924821908,8.369398896486402,8.625895115691101,9.385047630941912,8.675224549841541,8.406844537555973,8.360275673551747,8.450913587447513
43,HD14943,4746011090546864640,5.877062448787704,6.059474318038358,6.166408340756149,5.964760411055234,5.9010565872969565,5.875674759409865,6.0601737596284515,6.173418016728242,6.007249448696054
