,source_id,magH550,magH750,magH880,magHpan,magS420,magS550,magS750,magS920,magSpan,COMMENT,bestfitFLAG
0,1686708050268594944,12.747210410395159,13.289680145426203,13.554023865939804,12.905275536930361,12.459490505221083,12.748172126922402,13.28835320617923,13.644341873023738,13.156082888422297,OK,0
1,2398029465700538880,12.027056194677971,11.720750349816441,11.654051573630724,11.956567490861694,12.645731521475426,12.026362047479335,11.720981478536402,11.657287053831563,11.786925383063284,OK,1
2,2405805697263561600,14.080876628149827,14.366827909640556,14.547372474360152,14.183380893960212,13.98022546660971,14.082589761969867,14.367633753170487,14.633319235985478,14.287104963449764,OK,1
3,3126052883671520896,10.433993611883427,10.574044931296342,10.645151845493267,10.51795355882005,10.502186382262718,10.433650051281049,10.572429028469116,10.657518772401435,10.53387293327281,OK,0
4,5757389920689415040,11.884049928642217,11.570023976294628,11.500700931371505,11.80688415956024,12.46606919716669,11.883829286417164,11.570487940541533,11.500365037988093,11.63567921935207,DMS,0
5,3853478472249151616,12.42844735158636,12.083176787739774,12.016182376565872,12.339109610518811,13.046381699796605,12.427470488479795,12.083270191511403,12.021271196822777,12.155718582089477,OK,1
6,3817965105665685504,11.325451178662046,10.908813114069666,10.80757769964049,11.20320617281812,12.08937375021518,11.32496053983093,10.909778260641858,10.783365310656269,10.995247509504203,OK,1
7,4328293291578459392,13.415070030138356,14.016096217760193,14.25686677149313,13.541601714963242,12.978672864332879,13.416348000510244,14.013369014657982,14.276754167140187,13.861125249183956,OK,0
8,1871118140493076224,12.966166662754727,13.439232755515974,13.695587529245955,13.16560707661278,12.90346265661978,12.965370750297257,13.43967931829431,13.760549201712234,13.341136192661175,OK,1
9,4994877094997259264,12.905865199519948,13.018762274699895,13.18649062329066,12.99753601735,13.041583175213134,12.905360855538309,13.018063453243975,13.214769320561313,12.995483790722282,OK,0
10,5242316444456199808,13.493643879278654,13.955820608830301,14.160252738435098,13.664101168713778,13.36926897452269,13.494781630695346,13.952384292005696,14.280522243552607,13.843448438771944,OK,1
11,5860131207828395648,13.969718032081321,13.990941335232868,14.065433052060506,14.024304904907183,14.183077324756056,13.969565562212917,13.993918494139713,14.093222492878898,13.975025494898432,OK,0
12,5923906524348891904,13.443220195545674,13.975244512175124,14.226437376991093,13.633121529802153,13.295159219945077,13.443271149736137,13.971642178838458,14.333719134194038,13.845137375651113,OK,0
13,2045444369069839744,13.557248501169806,14.102223052683172,14.387467360077068,13.711453186709456,13.24834413431752,13.558907333367873,14.100316565585835,14.474290986084977,13.969162816466671,OK,0
14,1923682286712356992,13.846693292098617,14.332269688267417,14.59283046996265,14.016450774561903,13.667224687786884,13.846631822291489,14.331073399508377,14.679694433802862,14.213183085246108,OK,1
15,4922382445088509312,14.205204315244085,14.716888488739123,14.975403478531042,14.367737869445605,13.954603772168419,14.204492232239762,14.715329900804498,15.022108257334612,14.604112810091628,OK,1
16,519815360648870144,14.438191692995634,15.030339961874432,15.262270337442764,14.564553534460629,14.012993629978823,14.43904441879516,15.030504398915575,15.438364592524405,14.87455521732489,OK,0
17,1572889389701360384,14.125305652082663,14.748091346256842,15.116854965783368,14.248052857816639,13.645104608652275,14.125360131522381,14.74735413983138,15.163297870596733,14.576967315490862,OK,1
18,6070021243006871040,14.397402969101403,14.902635477315002,15.13851037161492,14.553359062593131,14.14578069753123,14.39733941078254,14.898613397355788,15.265883487980194,14.775144672662833,OK,0
19,1371872413302877568,14.800256239994884,15.3262013440944,15.578018012773967,14.93469411595467,14.447214853360741,14.800219102093667,15.327823710266351,15.707884424047993,15.194511657456992,OK,1
20,1326398777041821568,14.589298579146313,14.846970521085218,15.009694341803524,14.726895322627783,14.627669385224316,14.589893959676619,14.849072452677575,15.101223161048186,14.79438896496712,OK,0
21,6462911897617050240,14.24918790061206,14.463135990319913,14.640230868284895,14.375848321907334,14.32194915458016,14.248836762054186,14.460288846825954,14.683744794871043,14.425853053413881,OK,0
22,2257815757199848960,10.733560289574577,10.522257134968541,10.53185052278333,10.706634926289183,11.274942514325204,10.7322665404632,10.522608355873714,10.549256128647496,10.559032211602236,OK,0
23,2541942588451597440,15.028782734383011,15.1496794540367,15.183428226197059,15.090628777719104,15.032096582362492,15.02860847340838,15.148823841743962,15.2007388247596,15.119038902847649,OK,1
24,1564096767011977728,15.042574348354112,15.085157738155822,15.112949829220021,15.093667924526997,15.200396217778028,15.044113077536732,15.086317410929496,15.152989898182003,15.068227377708254,OK,0
25,2560771312759450496,10.777350000475202,9.19086512453545,8.792648777774819,9.950308979012412,12.850957175671837,10.781833717211345,9.144140278112062,8.736737799802146,9.681694563323138,OK,0
26,1472718211053416320,10.484952171775468,8.992275764009058,8.61397572313868,9.720904501141405,12.529572250359436,10.48291725249685,8.956624836410743,8.49822542114575,9.432398962120327,OK,1
27,1428427236986209024,10.039687687959368,8.409535389830516,7.988291379169141,9.152245270393312,12.232235488439713,10.040844115028417,8.375789647208016,7.863267885748577,8.870976571950017,OK,0
28,4659680529922228096,10.352523713042554,10.307574116004453,10.338518110966149,10.381185535655426,10.663297497915721,10.350544291336501,10.305997628983079,10.365705091238357,10.307102601774861,OK,1
29,3348071528591318272,13.657904650538466,13.333657924044402,13.265741402433456,13.587517516750701,14.396824048594887,13.658113372867025,13.334123833389192,13.252631492343834,13.39578397201565,OK,1
30,5020116556211470848,14.027460676013352,12.102243327356035,11.609487616944783,12.922122641578568,16.253775251411277,14.04808136540547,12.039080102493152,11.43416758609121,12.701417266557996,OK,0
