,source_id,magH550,magH750,magH880,magHpan,magS420,magS550,magS750,magS920,magSpan
0,6324325225803432320,11.229778215863703,9.040791676011722,8.433489069147935,9.89517638100233,13.415606473158157,11.252761884229209,8.959808697599925,8.229147397167615,9.749297538791016
1,5853498713190525696,11.0934225910908,8.106343339213986,7.208330801689669,8.942719997732407,14.1453760226374,11.166709871472108,7.982402745255921,6.861190920709689,8.99686066279505
2,4339417394313320192,16.71342933842854,13.1175865305268,11.942315306500326,13.836777751848917,20.553027654377146,16.81969870600758,12.953867415539357,11.456804915063358,14.141798324736587
3,2794735086363871360,20.88091728333665,17.478733156766694,15.716070913318092,17.597870766298488,26.687297523134305,20.876615551663107,17.354541322000763,14.90978957367134,18.018052912035582
4,2997171394834174976,30.814218726959382,21.046316394573083,17.856054987617682,20.34568410101976,30.7952710769204,30.345508510211296,21.101555237135088,17.0228338340265,21.20578470401095
5,5040300909638155520,8.896858294862398,8.432504987698977,8.303525107821677,8.752037159020663,9.778981513560261,8.896897571781231,8.43317139273272,8.273081661723104,8.530060257990467
6,4746011090546864640,5.879246189088427,6.061888680373542,6.167117769713826,5.967909247148416,5.906919677473091,5.878117941524405,6.062646523036193,6.172694003029772,6.010315968703448
7,22745910577134848,4.262259729033559,4.656534935416083,4.80845979629899,4.371162137077402,3.9997655493885276,4.262052204597037,4.657086053368797,4.820116590257374,4.551965855313934
8,5057499161282786432,16.458436350491972,16.25740792257769,16.24416654732113,16.434516021076465,16.97416272141622,16.45350303847188,16.256329949440733,16.217409695465754,16.294913639498052
9,52624073910834176,9.190262168846385,9.027186418744328,9.016106434829034,9.170370871831683,9.554768728606955,9.189721803868824,9.027527628037213,9.014679834536349,9.059288934566574
10,4881345510044485120,9.098834810069288,8.902999238270422,8.8821468703924,9.06881896592111,9.528852636384272,9.098993653919365,8.90375849183797,8.875200087707103,8.941390819524969
11,2988329637719192960,4.272456711147797,4.838852670648336,5.122935484930316,4.386958368935783,3.832307296001659,4.272774966089887,4.83886054790467,5.197015434091952,4.680668481270246
12,2902205991429301888,7.800877013626874,7.554534800585763,7.521956696650264,7.760824666564606,8.457248395933306,7.800764097900007,7.555225281847768,7.511259082808689,7.5968845570939045
13,3444212584803426048,8.298477585605099,8.497809103015697,8.60542113112945,8.39169734125258,8.299693127621243,8.298102477257562,8.498089611041664,8.613362086813765,8.44488060245812
14,2915523482424724224,7.755183828548958,7.5626153252088955,7.557806613445045,7.734929249716917,8.303052551287351,7.753780036376238,7.56312168415506,7.554098775568679,7.591478761303112
